City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Hirara,JP,82.67,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
589,Lawrenceburg,US,73.29,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
590,Catuday,PH,79.88,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
593,Lorengau,PG,84.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
594,Shingu,JP,86.99,broken clouds,33.7333,135.9833,Shingu UI Hotel
595,Monrovia,LR,76.62,light rain,6.3005,-10.7969,Sunset Inn
596,Nemuro,JP,79.23,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
598,Durusu,TR,74.34,few clouds,41.3053,28.6767,Çınar Pansiyon
599,Agadez,NE,85.75,few clouds,19.75,10.25,
600,Kashi,CN,72.23,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
602,Yurty,RU,74.95,clear sky,56.0498,97.6348,Gostinitsa Khutorok
603,Atambua,ID,84.27,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
605,Sabinas Hidalgo,MX,75.7,broken clouds,26.5,-100.1667,Hotel Real Santiago De Las Sabinas
606,Kiunga,PG,80.89,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
609,Mayo,US,75.94,clear sky,38.8876,-76.5119,Resorts Resource Group International
612,Karatau,KZ,86.65,clear sky,43.1667,70.4667,Gor.bol'nitsa
614,Bogalusa,US,81.73,scattered clouds,30.791,-89.8487,Traveler's Rest Motel
621,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
622,Barao De Melgaco,BR,70.32,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
623,Bouillante,GP,76.23,scattered clouds,16.1304,-61.7692,Gîtes Dardanelle
624,Karpathos,GR,78.76,few clouds,35.507,27.2132,Alex
625,Petukhovo,RU,75.88,broken clouds,55.0692,67.9019,Гостиница
626,Campo Maior,BR,71.42,clear sky,-4.8278,-42.1686,Elite Hotel
628,Wattegama,LK,85.12,overcast clouds,6.7989,81.4808,
629,Mattru,SL,73.89,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
631,Sakata,JP,84.38,few clouds,38.9167,139.855,Hotel Rich & Garden Sakata
